"Region","Crop","Lutum","Sand","Silt","pH","C","Cstock","Years"
"Leemstreek","PG",0.23,0.25,0.52,6.12,2.43,118.38,15
"Kempen","SM",0.26,0.54,0.2,4.95,2.15,84.99,16
"Leemstreek","PG",0.22,0.23,0.55,6.17,2.41,118.28,14
"Kempen","SMGR",0.15,0.6,0.25,4.95,2.15,94.72,12
"Kempen","GM",0.14,0.63,0.23,5.23,1.91,82.81,14
"Leemstreek","GM",0.29,0.2,0.51,6.22,1.73,94.01,14
"Leemstreek","SMGR",0.27,0.24,0.5,5.8,2.1,97.4,15
"Kempen","SM",0.08,0.64,0.28,5.32,2.18,81.72,10
"Leemstreek","GM",0.25,0.23,0.52,5.9,1.88,104.06,21
"Leemstreek","SMGR",0.25,0.26,0.49,6.06,1.97,102.18,17
"Kempen","GM",0.23,0.62,0.14,5.14,2.14,78.95,19
"Kempen","SM",0.15,0.63,0.22,5.15,2.13,85.81,10
"Leemstreek","GM",0.24,0.25,0.51,5.75,1.7,99.11,13
"Leemstreek","SM",0.25,0.24,0.52,5.97,1.76,97.24,10
"Kempen","SM",0.29,0.47,0.24,5.27,1.97,88.42,24
"Leemstreek","PG",0.26,0.25,0.49,5.57,2.45,115.76,17
"Leemstreek","GM",0.16,0.26,0.57,5.7,1.82,96.06,22
"Leemstreek","GM",0.29,0.27,0.44,5.77,1.83,93.58,18
"Kempen","SM",0.24,0.57,0.18,4.78,2.1,86.64,12
"Kempen","GM",0.13,0.69,0.18,5.18,2,82.63,10
"Kempen","SMGR",0.14,0.61,0.24,4.9,2.46,94.3,16
"Kempen","SMGR",0.18,0.61,0.22,4.67,2.25,97.85,13
"Kempen","GM",0.09,0.66,0.24,4.97,2.16,82.63,22
"Kempen","PG",0.22,0.56,0.21,5.02,2.72,104.07,18
"Kempen","SMGR",0.22,0.58,0.2,5.27,2.19,87.03,18
"Leemstreek","GM",0.2,0.32,0.48,5.78,1.78,95.26,24
"Leemstreek","GM",0.36,0.25,0.39,6.23,1.88,96.08,11
"Leemstreek","SM",0.27,0.3,0.43,6.08,1.77,105.89,10
"Leemstreek","PG",0.38,0.21,0.41,6.07,2.52,116.03,18
"Kempen","PG",0.16,0.59,0.25,4.93,2.58,101.93,12
"Kempen","SMGR",0.18,0.62,0.2,5.49,2.16,88.65,14
"Kempen","PG",0.18,0.55,0.27,4.74,2.83,109.17,12
"Leemstreek","SM",0.26,0.25,0.49,5.96,1.79,94.84,19
"Kempen","SM",0.2,0.64,0.17,5.04,2.2,83.95,19
"Leemstreek","GM",0.27,0.28,0.45,5.92,1.84,100.83,21
"Leemstreek","SM",0.31,0.18,0.5,6.14,1.73,102.47,16
"Leemstreek","SM",0.19,0.29,0.52,6.2,1.83,97.15,21
"Leemstreek","SM",0.33,0.21,0.45,5.85,1.7,98.45,11
"Leemstreek","SMGR",0.08,0.26,0.66,6.16,1.86,106.81,19
"Leemstreek","SMGR",0.26,0.27,0.47,6.28,2.03,98.07,14
"Leemstreek","SM",0.25,0.24,0.5,5.84,1.91,97.09,13
"Leemstreek","PG",0.23,0.23,0.54,5.87,2.54,122.46,14
"Leemstreek","SMGR",0.25,0.25,0.5,6.13,1.85,102.34,19
"Leemstreek","SMGR",0.28,0.26,0.46,6.04,1.75,104.08,16
"Leemstreek","SM",0.16,0.28,0.56,6.11,1.71,98.24,20
"Leemstreek","GM",0.21,0.19,0.6,6.28,1.83,93.61,24
"Kempen","SMGR",0.26,0.52,0.22,5.18,2.17,86.36,18
"Leemstreek","GM",0.17,0.29,0.53,6.21,1.58,95.58,14
"Leemstreek","GM",0.22,0.28,0.49,6.12,1.74,95.01,21
