"Region";"Crop";"Lutum";"Sand";"Silt";"pH";"C";"Cstock";"Years"
"1";"Leemstreek";"PG";0.23;0.25;0.52;6.12;2.43;118.38;15
"2";"Kempen";"SM";0.26;0.54;0.2;4.95;2.15;84.99;16
"3";"Leemstreek";"PG";0.22;0.23;0.55;6.17;2.41;118.28;14
"4";"Kempen";"SMGR";0.15;0.6;0.25;4.95;2.15;94.72;12
"5";"Kempen";"GM";0.14;0.63;0.23;5.23;1.91;82.81;14
"6";"Leemstreek";"GM";0.29;0.2;0.51;6.22;1.73;94.01;14
"7";"Leemstreek";"SMGR";0.27;0.24;0.5;5.8;2.1;97.4;15
"8";"Kempen";"SM";0.08;0.64;0.28;5.32;2.18;81.72;10
"9";"Leemstreek";"GM";0.25;0.23;0.52;5.9;1.88;104.06;21
"10";"Leemstreek";"SMGR";0.25;0.26;0.49;6.06;1.97;102.18;17
"11";"Kempen";"GM";0.23;0.62;0.14;5.14;2.14;78.95;19
"12";"Leemstreek";"PG";0.34;0.26;0.41;5.91;252;122.77;12
"13";"Kempen";"SM";0.15;0.63;0.22;5.15;2.13;85.81;10
"14";"Leemstreek";"GM";0.24;0.25;0.51;5.75;1.7;99.11;13
"15";"Leemstreek";"SM";0.25;0.24;0.52;5.97;1.76;97.24;10
"16";"Kempen";"SM";0.29;0.47;0.24;5.27;1.97;88.42;24
"17";"Leemstreek";"PG";0.26;0.25;0.49;5.57;2.45;115.76;17
"18";"Leemstreek";"GM";0.16;0.26;0.57;5.7;1.82;96.06;22
"19";"Leemstreek";"GM";0.29;0.27;0.44;5.77;1.83;93.58;18
"20";"Kempen";"SM";0.24;0.57;0.18;4.78;2.1;86.64;12
"21";"Kempen";"GM";0.13;0.69;0.18;5.18;2;82.63;10
"22";"Kempen";"SMGR";0.14;0.61;0.24;4.9;2.46;94.3;16
"23";"Kempen";"SMGR";0.18;0.61;0.22;4.67;2.25;97.85;13
"24";"Kempen";"GM";0.09;0.66;0.24;4.97;2.16;82.63;22
"25";"Kempen";"PG";0.22;0.56;0.21;5.02;2.72;104.07;18
"26";"Keempen";"SMGR";0.22;0.58;0.2;5.27;2.19;87.03;18
"27";"Leemstreek";"GM";0.2;0.32;0.48;5.78;1.78;95.26;24
"28";"Leemstreek";"GM";0.36;0.25;0.39;6.23;1.88;96.08;11
"29";"Leemstreek";"SM";0.27;0.3;0.43;6.08;1.77;105.89;10
"30";"Leemstreek";"PG";0.38;0.21;0.41;6.07;2.52;116.03;18
"31";"Kempen";"PG";0.16;0.59;0.25;4.93;2.58;101.93;12
"32";"Kempen";"SMGR";0.18;0.62;0.2;5.49;2.16;88.65;14
"33";"Kempen";"GM";0.14;0.62;0.24;5.07;1.94;84.35;12
"34";"Kempen";"PG";0.18;0.55;0.27;4.74;2.83;109.17;12
"35";"Leemstreek";"SM";0.26;0.25;0.49;5.96;1.79;94.84;19
"36";"Leemstreek";"SMGR";0.27;0.22;0.52;5.61;1.87;104.71;11
